legal_code,region_group,weight,true_share,base_share,area_share,type_area_share,hist_share,true_grade,base_grade,area_grade,type_area_grade,quantile_grade,hist_grade
2811012300,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
3014011800,지방,268.51666666666665,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4122010100,수도권(경기·인천),80.75,0.0001257387149503332,0.0001257387149503332,0.0001257387149503332,0.0001257387149503332,0.0001257387149503332,D,D,D,D,D,D
4136025625,수도권(경기·인천),80.75,0.22666666666666666,0.0,0.2311111111111111,0.2311111111111111,0.22666666666666666,D,D,D,D,D,D
4139012000,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4145010800,수도권(경기·인천),80.75,0.2830396475770925,0.2522026431718062,0.2588105726872247,0.256057268722467,0.2830396475770925,C,C,C,C,C,C
4145011400,수도권(경기·인천),80.75,0.6056338028169014,0.5915492957746479,0.5845070422535211,0.5633802816901409,0.6056338028169014,B,B,B,B,B,B
4150035025,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4155013000,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4155025026,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4159011700,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4161033021,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4380025027,지방,268.51666666666665,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4611016400,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4711310900,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4728010900,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4817012600,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4817040022,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4874025022,지방,268.51666666666665,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
5011012900,지방,234.95208333333332,0.003861003861003861,0.0,0.0,0.0,0.003861003861003861,D,D,D,D,D,D
5218010600,지방,268.51666666666665,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
