legal_code,status,legal_name,last_token,region_group,frame_population_dongs,frame_screened_dongs,frame_sampling_probability,frame_weight,total_units,screen_ok,screen_error
1171011100,존재,서울특별시 송파구 방이동,방이동,서울,467,120,0.2569593147751606,3.8916666666666666,36912,True,
1174010200,존재,서울특별시 강동구 고덕동,고덕동,서울,467,120,0.2569593147751606,3.8916666666666666,30359,True,
1174010600,존재,서울특별시 강동구 둔촌동,둔촌동,서울,467,120,0.2569593147751606,3.8916666666666666,15670,True,
1174010700,존재,서울특별시 강동구 암사동,암사동,서울,467,120,0.2569593147751606,3.8916666666666666,39365,True,
2811010300,존재,인천광역시 중구 중앙동3가,중앙동3가,수도권(경기·인천),2280,120,0.05263157894736842,19.0,44,True,
2811012300,존재,인천광역시 중구 신생동,신생동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,748,True,
2811013000,존재,인천광역시 중구 유동,유동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,92,True,
2818510300,존재,인천광역시 연수구 연수동,연수동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,37768,True,
2820010300,존재,인천광역시 남동구 만수동,만수동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,92188,True,
2824511400,존재,인천광역시 계양구 평동,평동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
2824511800,존재,인천광역시 계양구 오류동,오류동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,2416,True,
2871025023,존재,인천광역시 강화군 강화읍 국화리,국화리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,432,True,
2871025026,존재,인천광역시 강화군 강화읍 용정리,용정리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,1090,True,
2871031024,존재,인천광역시 강화군 선원면 신정리,신정리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,46,True,
2871034023,존재,인천광역시 강화군 화도면 문산리,문산리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
2871035028,존재,인천광역시 강화군 양도면 조산리,조산리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
2871041021,존재,인천광역시 강화군 삼산면 석모리,석모리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,56,True,
